Position;TimePoint;SeedX;SeedY;CentroidX;CentroidY;Area;Eccentricity;SumCh00;StdDevCh00
1;1;325;1069;327.078;1086.16;1023;0.583638;45.9686;0.00785079
1;1;970;880;981.788;891.972;721;0.937852;35.8314;0.00471937
1;1;979;476;989.936;491.427;937;0.629594;43.8431;0.00556904
1;1;515;38;527.97;54.2093;1247;0.952236;61.9922;0.0133329
1;1;440;396;430.389;412.981;1086;0.964788;53;0.00850733
1;1;582;94;587.271;107.437;700;0.439178;32.9255;0.00974227
1;1;561;73;567.353;85.1484;566;0.451945;29.5804;0.0044896
1;1;1349;465;1362.39;482.803;1541;0.943501;88.0431;0.00375757
1;1;1355;1892;1363.2;1916.43;1406;0.950405;85.8275;0.00549174
1;1;1308;1930;1334.48;1952;1767;0.93281;109.188;0.00459522
1;1;1354;1483;1372.17;1505.05;1266;0.951881;74.898;0.00573095
1;1;1512;1129;1515.56;1143.57;711;0.581058;37.0431;0.00407605
1;1;1741;1196;1742.32;1214.36;1187;0.866372;70.3294;0.0051014
1;1;1419;1494;1425.32;1514;1271;0.924628;76.9255;0.00850399
1;1;1464;1146;1470.32;1164.58;1044;0.859711;60.4;0.00583389
1;1;1464;1689;1484.15;1706.44;1520;0.986307;90.7961;0.00486213
1;1;1476;1106;1483.98;1117.54;662;0.793378;33.9255;0.00408129
1;1;1507;1176;1513.66;1188.95;662;0.894686;34;0.00424852
1;1;1615;1991;1621.72;2015.72;1283;0.945992;75.1294;0.00490193
1;1;1582;1970;1582.8;1989.81;654;0.970433;34.2235;0.00371365
1;1;1546;1964;1548.25;1978.41;707;0.741056;37.4039;0.00381654
1;1;1986;1796;1988.67;1816.99;1339;0.606466;84.4941;0.00376438
1;1;1856;1368;1863.05;1392.97;1384;0.93868;83.4588;0.00474307
1;1;1961;1401;1970.9;1416.09;1318;0.924571;77.2706;0.00485274
1;1;1987;1353;1987.63;1372.73;1057;0.410604;67.0863;0.0035534
1;1;1946;1565;1970.05;1583.51;887;0.994335;46.4392;0.00429739
1;1;1952;1755;1961.9;1773.35;1008;0.731633;61.1922;0.00487723
1;1;2006;238;2006.06;250.369;590;0.859718;32.0431;0.00334905
1;1;1717;440;1722.98;456.286;913;0.232009;45.1412;0.00529969
1;1;2008;1297;2018.84;1332.34;1363;0.989332;79.9843;0.00349084
1;1;1967;1269;1965.38;1286.91;813;0.700904;47.8706;0.00538624
1;1;1913;605;1900.65;641.544;1851;0.969497;116.757;0.00401964
1;1;1850;666;1854.5;691.795;1410;0.956115;84.4118;0.0040263
1;1;1930;685;1934.31;715.353;1053;0.828425;65.5529;0.00383383
1;1;1908;683;1896.35;701.036;987;0.916817;59.5412;0.00416691
1;1;1658;489;1676.07;514.226;1621;0.962447;100.686;0.00417366
1;1;1676;433;1692.16;466.748;1326;0.994512;83.1647;0.00509996
1;1;1600;466;1617.71;485.845;1331;0.854284;79.9922;0.00510533
1;1;1622;516;1642.27;534.031;1108;0.943632;65.3333;0.00547098
1;1;1723;376;1720.84;400.459;1557;0.969669;92.7765;0.00527375
1;1;1729;321;1732.75;346.364;1880;0.971588;116.969;0.0055702
1;1;1866;354;1832.59;371.424;1611;0.990184;102.996;0.00354302
1;1;1833;328;1832.96;340.701;1064;0.993223;61.3255;0.00452699
1;1;584;459;600.283;474.045;1167;0.920889;67.4157;0.00651232
1;1;554;446;554.267;468.758;1027;0.895568;56.1529;0.00518791
1;1;390;1068;393.447;1085.12;991;0.541675;44.4941;0.00751045
1;1;579;402;589.606;430.408;1590;0.937661;98.7843;0.00403073
1;1;479;319;486.368;333.745;1049;0.790233;57.6431;0.00444897
1;1;504;358;501.874;372.132;712;0.686992;36.6157;0.0041488
1;1;530;303;529.261;319.808;697;0.899521;35.3843;0.00428744
1;1;560;322;555.634;342.475;1043;0.852341;59.5961;0.0065146
1;1;316;813;313.772;831.949;935;0.805889;47.1765;0.00529423
1;1;262;801;259.8;817.723;945;0.814862;49.9725;0.00436961
1;1;536;378;540.332;400.931;1370;0.588003;80.698;0.00406563
1;1;545;504;545.178;516.945;723;0.906254;35.8784;0.0056062
1;1;237;1982;240.914;2003.97;1140;0.931291;54.2235;0.0158217
1;1;187;1638;188.767;1656.32;1064;0.30769;48.1843;0.00678229
1;1;151;1500;160.477;1524.72;1301;0.914948;74.7333;0.0065951
1;1;204;1900;199.215;1916.97;906;0.596888;39.8667;0.00795271
1;1;233;1797;238.89;1813.91;884;0.877865;41.3529;0.00876245
1;1;196;354;196.539;369.108;592;0.81281;28.9451;0.0058904
1;1;226;360;230.059;373.886;656;0.646538;31.1882;0.00709333
1;1;152;410;163.405;427.804;851;0.789543;42.2863;0.005417
1;1;168;373;172.873;390.994;685;0.844269;33.6863;0.00614252
1;1;156;325;149.412;347.92;1366;0.939161;75.6353;0.00578219
1;1;162;197;160.937;230.628;1123;0.990692;59.0039;0.00526586
1;1;153;287;157.302;298.5;516;0.677197;19.9059;0.0136793
1;1;125;312;118.447;325.291;939;0.951948;46.4;0.00587502
1;1;822;782;818.709;801.61;949;0.626313;44.7255;0.0082648
1;1;618;1061;615.553;1077.95;1068;0.67267;60.9137;0.0044126
1;1;551;903;561.583;922.617;1414;0.535196;82.8745;0.00351129
1;1;621;497;625.416;514.337;992;0.501191;59.1961;0.00360703
1;1;663;1786;659.926;1818.91;1546;0.952295;90.2667;0.0037713
1;1;671;1902;676.008;1936.11;1915;0.95933;112.463;0.00358756
1;1;527;1009;546.696;1028.44;1288;0.914975;69.9843;0.00551909
1;1;785;1708;787.332;1743.78;1339;0.990384;73.7216;0.00380087
1;1;889;1407;896.896;1421.76;867;0.611845;51.3373;0.00361887
